year,county,level,a_y,r_y,n_y,p_y,l_y,ca_y,cl_y,ca_avg_y,cl_avg_y,a_yplus10,l_yplus10
2014,Crow Wing,Gross Misdemeanor,159,123,394,NA,NA,NA,NA,NA,NA,NA,NA
2014,Crow Wing,Misdemeanor,266,201,460,NA,NA,NA,NA,NA,NA,NA,NA
2014,Crow Wing,Juvenile,36,47,84,NA,NA,NA,NA,NA,NA,NA,NA
2014,Dakota,Felony,890,1002,2972,NA,NA,NA,NA,NA,NA,NA,NA
2014,Dakota,Gross Misdemeanor,790,986,1855,NA,NA,NA,NA,NA,NA,NA,NA
2014,Dakota,Misdemeanor,1261,1343,1924,NA,NA,NA,NA,NA,NA,NA,NA
2014,Dakota,Juvenile,334,310,365,NA,NA,NA,NA,NA,NA,NA,NA
2014,Dodge,Felony,26,35,145,NA,NA,NA,NA,NA,NA,NA,NA
2014,Dodge,Gross Misdemeanor,33,32,72,NA,NA,NA,NA,NA,NA,NA,NA
2014,Dodge,Misdemeanor,43,32,44,NA,NA,NA,NA,NA,NA,NA,NA
2014,Dodge,Juvenile,41,46,29,NA,NA,NA,NA,NA,NA,NA,NA
2014,Douglas,Felony,95,89,274,NA,NA,NA,NA,NA,NA,NA,NA
2014,Douglas,Gross Misdemeanor,124,102,226,NA,NA,NA,NA,NA,NA,NA,NA
2014,Douglas,Misdemeanor,178,173,164,NA,NA,NA,NA,NA,NA,NA,NA
2014,Douglas,Juvenile,73,70,60,NA,NA,NA,NA,NA,NA,NA,NA
2014,Faribault,Felony,49,57,141,NA,NA,NA,NA,NA,NA,NA,NA
2014,Faribault,Gross Misdemeanor,30,31,53,NA,NA,NA,NA,NA,NA,NA,NA
2014,Faribault,Misdemeanor,46,35,49,NA,NA,NA,NA,NA,NA,NA,NA
2014,Faribault,Juvenile,48,43,25,NA,NA,NA,NA,NA,NA,NA,NA
2014,Fillmore,Felony,34,29,115,NA,NA,NA,NA,NA,NA,NA,NA
2014,Fillmore,Gross Misdemeanor,37,36,75,NA,NA,NA,NA,NA,NA,NA,NA
2014,Fillmore,Misdemeanor,87,87,87,NA,NA,NA,NA,NA,NA,NA,NA
2014,Fillmore,Juvenile,27,31,31,NA,NA,NA,NA,NA,NA,NA,NA
2014,Freeborn,Felony,84,92,210,NA,NA,NA,NA,NA,NA,NA,NA
2014,Freeborn,Gross Misdemeanor,71,46,150,NA,NA,NA,NA,NA,NA,NA,NA
2014,Freeborn,Misdemeanor,143,77,223,NA,NA,NA,NA,NA,NA,NA,NA
2014,Freeborn,Juvenile,72,69,94,NA,NA,NA,NA,NA,NA,NA,NA
2014,Goodhue,Felony,167,155,409,NA,NA,NA,NA,NA,NA,NA,NA
2014,Goodhue,Gross Misdemeanor,142,187,273,NA,NA,NA,NA,NA,NA,NA,NA
2014,Goodhue,Misdemeanor,247,237,310,NA,NA,NA,NA,NA,NA,NA,NA
2014,Goodhue,Juvenile,121,105,79,NA,NA,NA,NA,NA,NA,NA,NA
2014,Grant,Felony,12,9,22,NA,NA,NA,NA,NA,NA,NA,NA
2014,Grant,Gross Misdemeanor,13,16,25,NA,NA,NA,NA,NA,NA,NA,NA
2014,Grant,Misdemeanor,18,15,14,NA,NA,NA,NA,NA,NA,NA,NA
2014,Grant,Juvenile,15,11,13,NA,NA,NA,NA,NA,NA,NA,NA
2014,Hennepin,Felony,2748,2488,7075,NA,NA,NA,NA,NA,NA,NA,NA
2014,Hennepin,Gross Misdemeanor,2316,2391,7719,NA,NA,NA,NA,NA,NA,NA,NA
2014,Hennepin,Misdemeanor,4718,4864,3691,NA,NA,NA,NA,NA,NA,NA,NA
2014,Hennepin,Juvenile,1141,1354,995,NA,NA,NA,NA,NA,NA,NA,NA
2014,Houston,Felony,58,56,123,NA,NA,NA,NA,NA,NA,NA,NA
2014,Houston,Gross Misdemeanor,49,40,83,NA,NA,NA,NA,NA,NA,NA,NA
2014,Houston,Misdemeanor,96,82,101,NA,NA,NA,NA,NA,NA,NA,NA
2014,Houston,Juvenile,23,20,24,NA,NA,NA,NA,NA,NA,NA,NA
2014,Hubbard,Felony,59,63,197,NA,NA,NA,NA,NA,NA,NA,NA
2014,Hubbard,Gross Misdemeanor,38,47,93,NA,NA,NA,NA,NA,NA,NA,NA
2014,Hubbard,Misdemeanor,21,22,30,NA,NA,NA,NA,NA,NA,NA,NA
2014,Hubbard,Juvenile,15,34,15,NA,NA,NA,NA,NA,NA,NA,NA
2014,Isanti,Felony,131,130,295,NA,NA,NA,NA,NA,NA,NA,NA
2014,Isanti,Gross Misdemeanor,117,107,310,NA,NA,NA,NA,NA,NA,NA,NA
2014,Isanti,Misdemeanor,276,282,413,NA,NA,NA,NA,NA,NA,NA,NA
